,time,SVclockBias,SVrelFreqBias,MessageFrameTime,X,dX,dX2,health,Y,dY,dY2,FreqNum,Z,dZ,dZ2,AgeOpInfo,source,t_oc,Leap Seconds
0,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
1,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
2,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
3,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
4,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
5,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
6,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
7,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
8,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
9,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
10,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
11,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
12,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
13,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
14,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
15,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
16,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
17,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
18,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
19,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
20,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
21,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
22,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
23,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
24,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
25,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
26,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
27,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
28,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
29,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
30,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
31,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
32,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
33,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
34,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
35,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
36,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
37,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
38,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
39,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
40,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
41,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
42,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
43,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
44,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
45,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
46,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
47,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
48,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
49,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
50,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
51,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
52,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
53,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
54,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
55,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
56,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
57,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
58,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
59,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
60,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
61,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
62,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
63,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
64,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
65,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
66,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
67,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
68,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
69,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
70,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
71,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
72,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
73,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
74,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
75,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
76,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
77,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
78,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
79,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
80,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
81,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
82,2020-06-25 00:15:00+00:00,0.000433198176324,1.81898940355e-12,0.0,3010029.29688,1897.108078,-2.79396772385e-06,0.0,-12587493.1641,2330.12676239,-9.313225746160001e-07,-4.0,22035231.9336,1069.07653809,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
83,2020-06-25 00:15:00+00:00,1.73822045326e-05,9.09494701773e-13,0.0,-10674076.1719,849.7762680049999,-4.65661287308e-06,0.0,-20506961.4258,1220.34072876,-1.8626451492299999e-06,5.0,10877411.6211,3143.38588715,9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
84,2020-06-25 00:15:00+00:00,5.39580360055e-05,9.09494701773e-13,1920.0,-18180083.0078,-697.856903076,-2.79396772385e-06,0.0,-16719741.6992,-552.941322327,-1.8626451492299999e-06,6.0,-6344264.648440001,3440.1302337700004,2.79396772385e-06,0.0,output\nasa\brdc1770.20g,346500.0,18
85,2020-06-25 00:15:00+00:00,0.000139893963933,1.81898940355e-12,0.0,-11836194.3359,-2571.64001465,-9.313225746160001e-07,0.0,11848921.3867,555.493354797,-1.8626451492299999e-06,-2.0,19227001.4648,-1933.6729049700002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
86,2020-06-25 00:15:00+00:00,0.000335853546858,2.72848410532e-12,0.0,2612822.26562,352.169036865,-3.7252902984599998e-06,0.0,-22641002.9297,-1537.85800934,-0.0,4.0,11419132.3242,-3133.4590911900004,0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
87,2020-06-25 00:15:00+00:00,3.99984419346e-05,9.09494701773e-13,0.0,-6732990.23438,969.2001342770001,-3.7252902984599998e-06,0.0,-10706376.9531,-2878.5133361800004,-1.8626451492299999e-06,-3.0,22169303.2227,-1091.21227264,-0.0,0.0,output\nasa\brdc1770.20g,346500.0,18
88,2020-06-25 00:15:00+00:00,-9.94447618723e-05,-9.09494701773e-13,900.0,-12618700.1953,1156.38446808,-1.8626451492299999e-06,0.0,6256610.8398400005,-2680.7861328100003,-2.79396772385e-06,3.0,21261435.5469,1474.3633270300002,-9.313225746160001e-07,0.0,output\nasa\brdc1770.20g,346500.0,18
